Taille,Temps Recherche,Temps Insertion,Temps Suppression
10,0.003,1,1.1
20,0.006,1.301,1.401
40,0.012,1.602,1.702
80,0.025,1.903,2.003
160,0.05,2.204,2.304
320,0.1,2.505,2.605
640,0.2,2.806,2.906
1280,0.4,3.107,3.207
2560,0.8,3.408,3.508
5120,1.6,3.709,3.809
10240,3.2,4.01,4.11
20480,6.4,4.311,4.411
40960,12.8,4.612,4.712
81920,25.6,4.913,5.013
163840,51.2,5.214,5.314
327680,102.4,5.515,5.615
655360,204.8,5.816,5.916
1310720,409.6,6.117,6.217
2621440,819.2,6.418,6.518
5242880,1638.4,6.719,6.819
