Taille,Temps insertion,Temps recherche,Temps suppression
100,0.000000,0.000000,0.041000
200,0.001000,0.002000,0.069000
300,0.000000,0.002000,0.091000
400,0.001000,0.003000,0.126000
500,0.001000,0.005000,0.140000
1000,0.004000,0.012000,0.256000
2000,0.007000,0.004000,0.185000
3000,0.018000,0.003000,0.429000
4000,0.039000,0.004000,0.645000
5000,0.067000,0.007000,0.811000
6000,0.193000,0.039000,0.934000
7000,0.237000,0.035000,1.276000
8000,0.310000,0.106000,1.331000
9000,0.325000,0.142000,1.441000
10000,0.422000,0.087000,1.411000
20000,1.828000,0.201000,3.095000
30000,3.903000,0.384000,4.347000
